MS_system,node,Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality,Clustering
java-microservice,logstash,8,0.7272727272727273,8,0.7272727272727273,0,0.0,0.9999591120379211,0.0,0.7857142857142857,0.30781812163866284,-0.0,0.14904410382991812,134.30938849993782,0.32142857142857145
jhipster-microservices-example,blog,3,0.75,2,0.5,1,0.25,0.508792420940552,0.0,0.6666666666666666,0.2288308113938837,0.07265292451305846,0.2634462306963544,3.3733790974581153,1.0
jhipster-microservices-example,jhipster-registry,8,2.0,4,1.0,4,1.0,0.6344553044127323,0.5833333333333333,0.8,0.3415171291111937,0.38250286520617083,0.38699080242818623,9.163432143784517,0.15384615384615385
jhipster-microservices-example,store,2,0.5,1,0.25,1,0.25,0.2823597200194308,0.0,0.5,0.10257269362977,0.1480250907372164,0.15962210336350047,2.043236098749623,0.0
jhipster-microservices-example,github-repository,1,0.25,0,0.0,1,0.25,8.755132991548683e-10,0.0,0.0,0.030000000000000006,0.1480250907372164,-0.0,2.043236098749623,0.0
jhipster-microservices-example,user,4,1.0,2,0.5,2,0.5,0.508792420940552,0.16666666666666666,0.6666666666666666,0.2970793658651528,0.24879402880633786,0.18994086351195882,3.373379097458112,0.5
micro_webshop,zuul,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,0.7071093113978018,0.09090909090909091,0.4782608695652174,0.39418364659948796,3.532873901817488e-18,-0.0,2.6234082601199677,0.0
micro_webshop,eureka,7,0.6363636363636364,6,0.5454545454545454,1,0.09090909090909091,5.481923110155725e-06,0.16363636363636364,0.6136363636363636,0.10148437499999999,-0.0,0.5731230251490413,10.142543621892278,0.07142857142857142
micro_webshop,user-proxy,2,0.18181818181818182,0,0.0,2,0.18181818181818182,2.809801696645682e-09,0.0,0.0,0.0125,0.16165715788176993,-0.0,3.298430520498541,0.5
micro_webshop,product-service,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,1.4329988652892978e-07,0.02727272727272727,0.18181818181818182,0.026666666666666665,0.13351754918068287,0.1530439633938377,4.267455699264388,0.16666666666666666
